title,location,size,selling price
6 Bed Townhouse with En Suite at Royal Park Langata,"Royal Park Langata, Langata",6 Bedroom House Royal Park Langata,"KSh 28,250,000"
5 Bed Villa with En Suite in Karen,Karen,NEW KAREN 5 BEDROOM ALL ENSUITE VILLA + 2 DSQ O...,"KSh 99,000,000"
5 Bed Villa with En Suite at Diani,Diani,Villa on sale in Diani(South Coast),"KSh 68,000,000"
4 Bed House with En Suite in Athi River,Athi River,Captivating Four Bedroom Bungalow for Sale in A...,"KSh 22,500,000"
6 Bed Villa with En Suite at Bomani,"Bomani, Kikambala","6 Bedroom villa in Bomani,on sale","KSh 28,500,000"
5 Bed Villa with En Suite in Kiambu Road,Kiambu Road,Ongoing Project! Modern Townhouses and Villas F...,"KSh 65,000,000"
4 Bed Townhouse with En Suite in Westlands Area,"Westlands Area, Westlands",MAGNIFICENT 4 BEDROOM HOUSE FOR SALE IN WESTLAN...,"KSh 49,000,000"
4 Bed Townhouse with En Suite at Loresho Ridge,"Loresho Ridge, Loresho, Westlands",Beautiful Four bedroom Townhouse,"KSh 40,000,000"
3 Bed Townhouse in Kikambala,Kikambala,"For sale 3 Bedrooms newly built massionates, Ki...","KSh 15,000,000"
6 Bed Villa with En Suite at Mtwapa,"Posta, Mtwapa","Mtwapa posta,villa on sale","KSh 38,000,000"
5 Bed Townhouse with En Suite in Lower Kabete,"Lower Kabete, Westlands",An Elegant 5Bedroom House for Sale in Lower Ka...,"KSh 260,000,000"
6 Bed House with En Suite at Membley,"5874, Membley, Ruiru",6 Bedroom House For Sale In Ruiru,"KSh 28,000,000"
5 Bed House with Backup Generator in Rhapta Road,"Rhapta Road, Westlands",5 Bedroom Fully Furnished Townhouse For Sale On...,"KSh 40,000,000"
6 Bed Villa with En Suite in Lavington,Lavington,6 BEDROOM VILLA FOR SALE IN LAVINGTON,"KSh 121,000,000"
5 Bed Villa with En Suite in Thika,Thika,5 BEDROOM MAISONETTE FOR SALE IN THIKA (GITHING...,"KSh 24,000,000"
4 Bed Townhouse with En Suite in Kikuyu Town,"Kikuyu Town, Kikuyu",4BR All En-suite in Kikuyu,"KSh 12,500,000"
4 Bed Townhouse with En Suite at Kiambu Road,"kiambu road, Kiambu Road",4 bed villa for sale,"KSh 36,000,000"
5 Bed Villa with En Suite in Karen,Karen,5 Bedroom Villa for Sale in Karen.,"KSh 78,000,000"
4 Bed House with En Suite at Nyari Central Barrier One,"Nyari Central barrier one, Nyari, Westlands",Homely and modern 4 bedrooms house sitting on 0...,"KSh 200,000,000"
4 Bed Villa with En Suite at Matangi Junction,"hamundia, Matangi Junction, Ruiru",Your Dream Home On a Budget Awaits: 4-Bedroom A...,"KSh 12,500,000"
3 Bed House with En Suite in Ruiru,Ruiru,"3 BEDROOMS BUNGALOW, RUIRU MATANGI.","KSh 7,300,000"
4 Bed House with En Suite at Ngong,"olkeri, ngong, Ngong",Fully Furnished 4 bedroom Villa located in Ngon...,"KSh 27,000,000"
4 Bed House with En Suite in Ruiru,Ruiru,"4 BEDROOMS MAISONETTE, RUIRU.","KSh 12,000,000"
4 Bed Villa with En Suite in Lavington,Lavington,4 Bed Villa For Sale In Lavington,"KSh 88,000,000"
3 Bed House with Swimming Pool at Mtwapa,"mtwapa, Mtwapa",3 bedroom bungalow on sale at a prime area of M...,"KSh 39,000,000"
5 Bed Townhouse with En Suite at Mombasa Road,"Mombasa Road, Athi River","5bdrm Townhouse/Terrace in Lukenya Wildlife, Da...","KSh 43,580,000"
4 Bed Villa with En Suite at Bamburi,"bamburi, Bamburi",4 bedroom off plan villa on sale at a prime are...,"KSh 8,950,000"
4 Bed Villa in Vipingo,Vipingo,"4 Brm Top Hill Villa On Sale, North Coast Vipin...","KSh 21,000,000"
5 Bed House with En Suite at Lower Kabete Road,"99, Lower Kabete Road, Lower Kabete, Westlands",Highgrove Village offers residents a lifestyle...,"KSh 150,000,000"
4 Bed House with Swimming Pool in Kiambu Road,Kiambu Road,4 BEDROOMS TOWNHOUSES IN KIAMBU ROAD.,"KSh 34,450,000"
4 Bed House with Walk In Closet at Bamburi Mwisho,"0706771810, Bamburi mwisho, Bamburi",A fabulous and specious 4 bedroom incomplete fl...,"KSh 15,000,000"
8 Bed House with En Suite in Kongowea,"Kongowea, Nyali",FOR SALE 8 BEDROOMS HOUSE KONGOWEA MOMBASA,"KSh 25,000,000"
2 Bed Villa with En Suite in Diani,Diani,A very economic layout offers the beauty of tra...,Price not communicated
3 Bed House with En Suite at Zion Lane,"Ole Kisio Road, Zion Lane, Ongata Rongai","3-BEDROOM BUNGALOW FOR SALE ALONG ZION LANE, IN...","KSh 6,500,000"
6 Bed House in Muthaiga,Muthaiga,Six bedrooms plus sq for sale muthaiga,"KSh 350,000,000"
4 Bed House with En Suite in Ruiru,Ruiru,4-BEDROOM MAISONETTE,"KSh 25,000,000"
4 Bed House with En Suite at Nairobi/ Mombasa Rd Junction,"Nairobi/ Mombasa Rd Junction, Athi River",Mombasa Rd/ Machakos Junction- 4Br Residence on...,"KSh 12,000,000"
3 Bed House with Borehole in Kitengela,Kitengela,"3 Bedroom Bungalow for sale in Acacia,Kitengela","KSh 6,200,000"
6 Bed Townhouse with En Suite in Lavington,Lavington,Luxurious 6Bedroom all ensuit Townhouse For Sal...,"KSh 65,000,000"
4 Bed House with En Suite in Kilimani,Kilimani,House for Sale in Kilimani- Galana Road,"KSh 36,000,000"
5 Bed House with Garden in Mountain View,"Mountain View, Westlands",5 Bedrooms MOUNTAIN VIEW HOUSE ON SALE,"KSh 47,500,000"
5 Bed Townhouse at Nairobi,"Mugumo Road, Lavington, Nairobi","5 bed Townhouse, Mugumo road","KSh 75,000,000"
3 Bed House with En Suite in Kitengela,Kitengela,Kenpipe Gardens- Kitengela,"KSh 10,000,000"
3 Bed House in Kitengela,Kitengela,"3 Bedroom Bungalow for sale in Acacia, Kitengel...","KSh 6,000,000"
4 Bed Townhouse with En Suite in Nyali Area,"Nyali Area, Nyali",4 bedroom maisonette gated community estate {Mt...,"KSh 13,000,000"
5 Bed Townhouse with En Suite at Kaputei Road,"Kaputei Road, Kileleshwa",5 BEDROOM WITH DSQ TOWNHOUSE FOR SALE IN KILELE...,"KSh 55,000,000"
4 Bed House with En Suite in Kiambu Road,Kiambu Road,Exquisite 4 bedroom townhouse for sale in Kiamb...,"KSh 37,000,000"
3 Bed House with En Suite in Kitengela,Kitengela,Affordable 3BR House,"KSh 6,300,000"
5 Bed Townhouse with En Suite in Runda,"Runda, Westlands",NEW 5 BEDROOM TOWNHOUSE + DSQ FOR SALE IN RUNDA...,"KSh 67,000,000"
4 Bed Villa with En Suite in Athi River,Athi River,Green Park Estate Bungalow- Athi River,"KSh 25,000,000"
6 Bed Villa with En Suite in Lavington,Lavington,WORLD-CLASS VILLAS FOR SALE IN LAVINGTON STARTI...,"KSh 110,000,000"
3 Bed House with En Suite at Kenyatta Road,Kenyatta Road,MAGNIFICENT 3 BEDROOM BUNGALOW FOR SALE,"KSh 9,500,000"
5 Bed House with En Suite in Lavington,Lavington,LESS CROWDED REAL ESTATE!!LUXURIOUS LAVINGTON F...,"KSh 80,000,000"
5 Bed House with Garden at Kyuna Road,"kyuna road, Kyuna, Westlands",5 BEDROOM TOWN HOUSE KYUNA WESTAGE @ 100 MILLIO...,"KSh 100,000,000"
3 Bed Townhouse with En Suite in Tatu City,"Tatu City, Ruiru",3 bedroom townhouse in Tatu city-Silver hill,"KSh 29,000,000"
5 Bed House with En Suite in Syokimau,Syokimau,5 bedroom house for sale in Syokimau (Kenya) 3K...,"KSh 24,000,000"
4 Bed House with Garden in Karen,Karen,Affordable 4 bedroom bungalow available for sal...,"KSh 55,000,000"
5 Bed House in Nyali Area,"Nyali Area, Nyali",Magnificent palatial 5 bedroom house for sale i...,"KSh 100,000,000"
3 Bed House with En Suite at Kiembeni,"Kiembeni, Bamburi",FOR SALE 3 BEDROOMS BUNGALOW - KIEMBENI ESTATE,"KSh 14,000,000"
2 Bed Townhouse with En Suite in Mtwapa,Mtwapa,Mtwapa 100 by 100 plot 2 Bedrooms Townhouse,"KSh 18,000,000"
4 Bed Townhouse with En Suite at Karen,Karen,"4br Townhouse, Karen","KSh 75,000,000"
3 Bed Townhouse with En Suite at South C Estate.,"0728m, South C Estate., South C",Masterfully designed three bedroom townhouse ne...,"KSh 16,500,000"
4 Bed Villa with En Suite in Ngong,Ngong,4 BEDROOM + DSQ VILLAS ALL ENSUITE FOR SALE IN...,"KSh 24,500,000"
3 Bed House with Garden at Acacia Road,"Acacia Road, Kitengela",3 Bedroom(All ensuite) Bungalow,"KSh 6,500,000"
5 Bed House with En Suite at Nairobi,"Ibis Drive, Nyari Eatate, Nairobi, Nyari, Westlands","5 Bedroom Home on Nyari Dam, Ibis Drive, Nyari...","KSh 135,000,000"
6 Bed Villa with En Suite at La-Marina Mtwapa,"La-marina, La-marina Mtwapa, Mtwapa","1 acre,6 Bedroom villa on sale,Mtwapa La-marina","KSh 50,000,000"
3 Bed House with En Suite at Ngong Road,"0208, Ngong road, Ngong",Three bedrooms bungalow on sale at the bottom o...,"KSh 7,500,000"
3 Bed Villa with En Suite at Kilifi,"Kilifi, Bofa","FOR SALE 3 BEDROOMS BEACH VILLA - KILIFI, BOFA","KSh 40,000,000"
5 Bed Townhouse with En Suite in Lavington,Lavington,5Bedroom plus dsq Townhouse for Sale in Lavingt...,"KSh 63,000,000"
5 Bed House with En Suite in Runda,"Runda, Westlands",Stunning 5-Bedroom House for Sale in Upmarket R...,"KSh 80,000,000"
4 Bed Townhouse in Nyali Area,"Nyali Area, Nyali",FOR SALE 4 BEDROOM MASSIONATE - NYALI,"KSh 33,000,000"
4 Bed House in Kilimani,Kilimani,4 bedroom house for sale in Kilimani,"KSh 49,000,000"
3 Bed House with En Suite in Imara Daima,Imara Daima,Imara Daima Spacious 3 Bedroom Bungalow plus a...,"KSh 11,000,000"
3 Bed House with En Suite at Baraka Estate,"Baraka Estate, Kitengela",Newly-built 3 bedroom Bungalows at Yukos Kiteng...,"KSh 6,700,000"
7 Bed House in Runda,"Runda, Westlands",7 bedroom house for sale in Runda (Kenya) 3KE16...,"KSh 85,000,000"
3 Bed Townhouse with En Suite at Windsor,"Windsor, Roysambu",3BR All Ensuite with a DSQ overlooking Windsor...,"KSh 18,500,000"
4 Bed Townhouse with En Suite in Langata,Langata,4 BED MAISONETTE IN ENVIABLE GATED COMMUNITY,"KSh 26,000,000"
4 Bed Townhouse with En Suite in Spring Valley,"Spring Valley, Westlands",Modern Luxury Townhouse For Sale,"KSh 65,000,000"
3 Bed House with En Suite at Acacia,"ACACIA, Kitengela",3 bedroom bungalow for sale in kitengela,"KSh 6,200,000"
5 Bed House in South C,South C,House for sale in South C (Kenya) 3KE1607426,"KSh 26,000,000"
4 Bed Villa with En Suite in Bofa,Bofa,Stand-alone beachfront villa for Sale,"KSh 140,000,000"
3 Bed Townhouse with En Suite at Greenwood Mtwapa,"Greenwood, Greenwood Mtwapa, Mtwapa",Modern affordable unique 3 Bedroom townhouse on...,"KSh 6,500,000"
4 Bed Townhouse with En Suite in Ngong,Ngong,Four bedrooms mansion on sale in Ngong town,"KSh 17,500,000"
5 Bed Townhouse in Kisauni,Kisauni,For sale 5 bedrooms executive massionate,"KSh 35,000,000"
3 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,"Luxury 3,4 and 5 bedroom apartment villas in Ki...","KSh 25,000,000"
6 Bed House with En Suite at Braeburn,"Braeburn, Bamburi",6 Bedrooms Maisionatte on sale at Braeburn area...,"KSh 38,500,000"
3 Bed House with En Suite in Kitengela,Kitengela,3 BEDROOM BUNGALOW FOR SALE,"KSh 6,200,000"
5 Bed Townhouse in Westlands Area,"Westlands Area, Westlands",Townhouse for sale in Westlands (Kenya) 3KE1605...,"KSh 50,000,000"
4 Bed Townhouse with En Suite in South C,South C,Attractive 4 & 5 Bedroom Maisonettes For Sale I...,"KSh 20,950,000"
7 Bed House with En Suite in Runda,"Runda, Westlands",Mimosa Grove Villa- Runda,"KSh 130,000,000"
4 Bed Townhouse with En Suite in Kilimani,Kilimani,4Bedroom + Dsq Townhouse for Sale in Kilimani,"KSh 40,000,000"
5 Bed Townhouse with En Suite in Loresho,"Loresho, Westlands",Modern 5 Bedroom Townhouse for Sale in Loresho,"KSh 150,000,000"
4 Bed Townhouse with En Suite in Syokimau,Syokimau,Beautiful townhouse on quick sale in Syokimau....,"KSh 12,000,000"
4 Bed Villa with En Suite in Athi River,Athi River,4-BEDROOMS VILLA,"KSh 13,000,000"
3 Bed House with En Suite in Kitengela,Kitengela,Plainsview Estate Kitengela,"KSh 4,500,000"
5 Bed Townhouse with En Suite at Off Peponi Rd,"N/A, Off Peponi Rd, Westlands Area, Westlands",5 Bed All Ensuite Townhouse For Sale Off Peponi...,"KSh 68,500,000"
3 Bed House with En Suite at Rimpa,"Rimpa, Ongata Rongai",Three bedrooms Bungalow on sale in Rimpa Road O...,"KSh 6,500,000"
4 Bed Townhouse with En Suite in Ngong,Ngong,Heritage Villas- Ngong,"KSh 24,500,000"
3 Bed Townhouse with Swimming Pool in Kiambu Road,Kiambu Road,3 BEDROOM HOUSE FOR SALE PLUS DSQ ALONG KIAMBU...,"KSh 35,000,000"
5 Bed House with En Suite at Lower Kabete Road,"22, Lower kabete Road, Lower Kabete, Westlands",Sandwiched between built homes,"KSh 85,000,000"
5 Bed House with En Suite at Mirema Drive,"Mirema Drive, Mirema, Roysambu",5 Bedroom Townhouse at Mirema Drive in a Gated...,"KSh 23,000,000"
5 Bed Townhouse with En Suite in Lavington,Lavington,5Bedroom Townhouse for Sale in Lavington,"KSh 65,000,000"
3 Bed House with Garden at Bukani Rd,"Bukani Rd, Nairobi West",3 Bedroom + Dsq house For sale,"KSh 15,000,000"
3 Bed House with En Suite at Juja Farm Road,"Juja Farm Road, Juja",Beautiful Spacious 3 bedroom Bungalows,"KSh 6,750,000"
5 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",LESS CROWDED REAL ESTATE!!PALATIAL FIVE BEDROO...,"KSh 85,000,000"
4 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,Four Bedroom Townhouse for Sale,"KSh 32,000,000"
4 Bed House with En Suite at Acacia,"acacia, Kitengela",4 Bedroom bungalow for sale in Kitengela,"KSh 6,000,000"
4 Bed Townhouse with En Suite in Runda,"Runda, Westlands",NEW EXECUTIVE 4BEDROOM TOWNHOUSE + DSQ FOR SALE...,"KSh 32,000,000"
4 Bed House with En Suite in Kilimani,Kilimani,Striking 4 bedroom for sale in kilimani,"KSh 46,000,000"
4 Bed House with Garden in South C,South C,Five Star 4 & 5 Bed Masionettes In South C,"KSh 22,500,000"
5 Bed Townhouse with En Suite at Galana Road,"galana road, Kilimani",Spacious,"KSh 40,000,000"
4 Bed Townhouse with En Suite in Kitisuru,"Kitisuru, Westlands",4 bedroom townhouse for sale in kitisuru,"KSh 135,000,000"
4 Bed House with En Suite in Kitengela,Kitengela,KITENGELA FLAT ROOF VILLAS FOR SALE,"KSh 7,400,000"
3 Bed House with En Suite at On Your Way To Githunguri,"On your way to Githunguri, Ruiru",MANNA RESIDENCE BUNGALOWS,"KSh 9,250,000"
3 Bed House with Garden at Kitengela,Kitengela,Newly built 3 bedrooms house for sale in Kiteng...,"KSh 5,500,000"
4 Bed Townhouse in Buruburu,Buruburu,4 bedroom townhouse for sale in Buru Buru Estat...,"KSh 23,000,000"
5 Bed Townhouse with En Suite in Lavington,Lavington,5Bedroom plus dsq Townhouse for Sale in Lavingt...,"KSh 55,000,000"
3 Bed Townhouse in Ngumo Estate,Ngumo Estate,3 bedroom townhouse for sale in Ngumo Estate (K...,"KSh 19,000,000"
5 Bed Townhouse with En Suite at Lower Kabete Road,"Lower Kabete Road, Lower Kabete, Westlands",Kiambu: 5Bedroom- all En-suite Townhouse - For...,"KSh 100,000,000"
4 Bed House with En Suite in Syokimau,Syokimau,5 Bedroom Townhouse for Sale in Syokimau At 15....,"KSh 15,500,000"
6 Bed Villa with En Suite in Lavington,Lavington,DELUXE ALL ENSUITE 6 BEDROOM VILLA IN LAVINGTON...,"KSh 121,000,000"
6 Bed House with En Suite in Shanzu,"shanzu, Shanzu","6 Brm Creek Side Villa On Sale, Shanzu Mombasa","KSh 340,000,000"
3 Bed Villa with En Suite at Mtwapa,Mtwapa,3 bedroom villa on sale at a prime area of Mtwa...,"KSh 7,500,000"
6 Bed House with Garden in Tigoni,"Tigoni, Limuru",3 Houses Sitting On 1.25 Acres For Sale In Tigo...,"KSh 90,000,000"
3 Bed Townhouse with En Suite in Ruiru,Ruiru,3BR all ensuite bungalows for sale at Ruiru Mur...,"KSh 8,500,000"
6 Bed House with En Suite in Runda,"Runda, Westlands",6 bedroom house for sale in runda,"KSh 150,000,000"
6 Bed House with En Suite at Kinanda Road,"90, Kinanda Road, Kitisuru, Westlands",magnificent 6 BEDROOM HOUSE FOR SALE IN KITISUR...,"KSh 120,000,000"
6 Bed House with En Suite in Karen,Karen,House for sale in Karen (Kenya) 3KE1581608,"KSh 135,000,000"
3 Bed House with En Suite at Juja Farm,"Juja Farm Road, Juja Farm, Juja","A COSY 3BEDROOM BUNGALOW FOR SALE IN JUJA FARM,...","KSh 10,500,000"
4 Bed House with En Suite at Acacia,"ACACIA, Kitengela",4 Bedroom Bungalow for sale in Kitengela,"KSh 6,200,000"
3 Bed House with En Suite in Nyali Area,"Nyali Area, Nyali",4 bedroom maisonette for sale in Nyali,"KSh 28,000,000"
1 Bed House with Gym at Acacia,"Acacia, Kitengela",Clubhouse for sale in Kitengela,"KSh 15,000,000"
5 Bed Villa in Nyali Area,"Nyali Area, Nyali",6 Villas Of 5 Bedroom Beach Side Home On Sale A...,"KSh 480,000,000"
4 Bed House with Garden in Karen,Karen,OLD STYLE 4 BEDROOM MAISONETTE ON 1 ACRE,"KSh 70,000,000"
4 Bed House with En Suite in Kenyatta Road,Kenyatta Road,4 Bedroom townhouse for sale in Kenyatta Road,"KSh 39,000,000"
4 Bed Townhouse with Garden in Lavington,Lavington,4 Bedrooms townhouse for sale in Lavington,"KSh 85,000,000"
6 Bed House with En Suite in Loresho,"Loresho, Westlands",6 Bedroom Bungalow for Sale in Loresho,"KSh 125,000,000"
6 Bed House with En Suite in Gigiri,"Gigiri, Westlands",6 BEDROOM HOUSE FOR SALE IN GIGIRI,"KSh 115,000,000"
4 Bed Townhouse with En Suite in Ruiru,Ruiru,143 BROOKVIEW 4 BEDROOM VILLAS WITH A DSQ,"KSh 28,000,000"
3 Bed Villa with En Suite in Diani,Diani,3 & 5 Bedroom Villas All ensuite + SQ in Diani,"KSh 6,950,000"
4 Bed House with En Suite at Fourways Junction Estate,"Fourways Junction Estate, Kiambu Road",4BR HOUSE DISTRESS SALE IN FOURWAYS JUNCTION ES...,"KSh 22,000,000"
5 Bed Townhouse in Lavington,Lavington,"5 bedrooms, 65m","KSh 65,000,000"
6 Bed Villa in Diani,Diani,6 Brm On Sale At A Prime Area Of Galu South Coa...,"KSh 180,000,000"
5 Bed House with Swimming Pool at Lavington,Lavington,Charming 5 BR house for sale in Lavington,"KSh 80,000,000"
4 Bed Villa with En Suite at Membley,"Membley, Ruiru",A Haven of Style and Elegance: Stunning 4-Bedro...,"KSh 18,500,000"
6 Bed House with En Suite at Karen,"O, Karen",6 BEDROOM HOUSE FOR SALE IN KAREN,"KSh 150,000,000"
3 Bed Townhouse with En Suite in Parklands,"Parklands, Westlands",3 bedroom townhouse for sale in Parklands (Keny...,"KSh 16,000,000"
5 Bed House with En Suite at United Nations Ave,"United Nations Ave, United nations Ave, Gigiri, Westlands",Spectacular 5br Villa on 1acre Near UN Headquar...,"KSh 280,000,000"
5 Bed Townhouse with En Suite in Lavington,Lavington,A Stunning 5Bedroom Townhouse for Sale in Lavin...,"KSh 80,000,000"
5 Bed House with En Suite in Kamakis,"Kamakis, Ruiru",5 Bedroom home for sale in Kamakis,"KSh 19,500,000"
5 Bed House in Riverside,"Riverside, Westlands",RIVERSIDE FOR SALE (UNFURNISHED),"KSh 55,000,000"
3 Bed Townhouse with Garden at Matundu Lane,"Matundu lane, Westlands Area, Westlands",3 BEDROOMS,"KSh 45,000,000"
5 Bed House with En Suite at Ruaka Road,"54, Ruaka Road, Runda, Westlands",Modern 5 Bedroom Standalone House For Rent & Sa...,"KSh 100,000,000"
4 Bed House with En Suite in Mombasa Road,Mombasa Road,102 Southpark Estate Maisonette- Mombasa Road,"KSh 15,000,000"
4 Bed Townhouse with En Suite at World Bank Estate,"World bank Estate, Changamwe","4 bedroom Townhouse at World Bank Estate, Mirit...","KSh 14,000,000"
5 Bed Townhouse with En Suite at Langata,Langata,5 Bedroom House,"KSh 27,000,000"
5 Bed Villa with En Suite at Amboseli,"Amboseli, Lavington",Spacious,"KSh 58,000,000"
10 Bed Villa with En Suite at Nyali,"Nyali, nyali, Mombasa CBD, Mombasa Island","Beach Front Holiday Apartments On Sale, North C...","KSh 600,000,000"
2 Bed House with En Suite at Greenpark Great Rift Valley Lodge,"Greenpark Great Rift valley Lodge, Naivasha","Stunning 2 bedroom house(3000 sq.ft),1 bedroom...","KSh 87,000,000"
3 Bed House with En Suite at Mugutha,"mugutha, Ruiru",Experience Serenity and Style in Ruiru Mugutha:...,"KSh 8,600,000"
6 Bed House with En Suite in Lavington,Lavington,6 Bedroom House for Sale in Lavington with exci...,"KSh 110,000,000"
3 Bed House with En Suite in Kenyatta Road,Kenyatta Road,3 BEDROOM BUNGALOWS,"KSh 5,800,000"
5 Bed Villa with En Suite at Hardy,"Hardy, Karen",5 Bedroom House For Sale In Karen,"KSh 115,000,000"
4 Bed House with En Suite at Boma Road,"Boma Road, Banana, Muchatha and Banana",4br House for Sale in Kasphat Estate Kiambu,"KSh 17,500,000"
4 Bed Townhouse with En Suite in Tigoni,"Tigoni, Limuru",LUXURIOUS 4BEDROOM TOWNHOUSE FOR SALE IN TIGONI...,"KSh 55,000,000"
4 Bed House with En Suite in Karen,Karen,4 bedroom house located in Karen,"KSh 65,000,000"
4 Bed House with En Suite at Mukoma Road,"mukoma road, Karen",4 BEDROOM HOUSE FOR SALE IN KAREN NAIROBI KENYA,"KSh 80,000,000"
3 Bed Townhouse with En Suite at Mtwapa Animo Phase (3),"Mtwapa ANIMO Phase (3), Mtwapa",GREENWOOD GARDENS ESTATE MASIONETTE PHASE 3 MTW...,"KSh 7,500,000"
4 Bed Townhouse with En Suite in Kitengela,Kitengela,4 bedroom house for sale in Kitengela (Kenya)...,"KSh 11,500,000"
